# MonitorFlux offline place index. GENERATED by script/make_place_index.swift — do not edit.
# Cities/admin names: GeoNames (geonames.org), CC BY 4.0. ZIP centroids: US Census ZCTA
# gazetteer 2025, public domain.
# T timezone-id | A admin1-name | C name aIdx cc lat lon pop tzIdx | Z zip lat lon
A	Rio Grande do Sul
A	Paraná
A	Mato Grosso
A	Goiás
A	Mato Grosso do Sul
A	Federal District
A	Acre
A	Rondônia
A	Roraima
A	New Providence
A	Freeport
A	Thimphu District
A	Punakha
A	Chukha
A	Tsirang District
A	Central
A	South-East
A	Kweneng
A	Selibe Phikwe
A	Ngwaketsi
A	Kgatleng
A	North-West
A	Lobatse
A	Ghanzi
A	Gaborone
A	City of Francistown
A	Jwaneng
A	Minsk
A	Homyel’ Voblasc’
A	Vitebsk
A	Grodnenskaya
A	Brest
A	Mogilev
A	Minsk City
A	Belize District
A	Orange Walk District
A	Cayo District
A	British Columbia
A	Ontario
A	Quebec
A	Alberta
A	Nova Scotia
A	Manitoba
A	Prince Edward Island
A	Newfoundland and Labrador
A	New Brunswick
A	Saskatchewan
A	Yukon
A	Northwest Territories
A	Tshopo
A	Haut-Uele
A	South Kivu
A	Kasai
A	North Kivu
A	Haut-Katanga
A	Tanganyika
A	Lomami
A	Haut-Lomami
A	Ituri
A	East Kasai
A	Sankuru
A	Mongala
A	Maniema
A	Kasai-Central
A	Nord-Ubangi
A	Bas-Uele
A	Tshuapa
A	Lualaba
A	Sud-Ubangi
A	Bas-Congo
A	Mai-Ndombe
A	Équateur
A	Kwilu
A	Kinshasa
A	Kwango
A	Haut-Mbomou
A	Bamingui-Bangoran
A	Ouaka
A	Haute-Kotto
A	Mbomou
A	Basse-Kotto
A	Ombella-M'Poko
A	Kémo
A	Lim-Pendé
A	Sangha-Mbaéré
A	Lobaye
A	Nana-Grébizi
A	Ouham-Fafa
A	Mambéré
A	Ouham-Pendé
A	Nana-Mambéré
A	Ouham
A	Mambéré-Kadéï
A	Bangui
A	Lékoumou
A	Pointe-Noire
A	Cuvette
A	Sangha
A	Niari
A	Bouenza
A	Likouala
A	Plateaux
A	Brazzaville
A	Zurich
A	Zug
A	Vaud
A	Saint Gallen
A	Aargau
A	Geneva
A	Bern
A	Solothurn
A	Valais
A	Schwyz
A	Schaffhausen
A	Neuchâtel
A	Basel-Landschaft
A	Lucerne
A	Ticino
A	Thurgau
A	Appenzell Ausserrhoden
A	Fribourg
A	Grisons
A	Basel-City
A	Sassandra-Marahoue
A	Montagnes
A	Lacs District
A	Bas-Sassandra District
A	Woroba
A	Vallée du Bandama District
A	Savanes District
A	Lagunes District
A	Zanzan District
A	Goh-Djiboua
A	Denguélé District
A	Comoé District
A	Abidjan Autonomous District
A	Rarotonga
A	Valparaiso
A	Araucania
A	Coquimbo Region
A	Atacama
A	Los Ríos Region
A	Biobio
A	Antofagasta
A	Maule Region
A	Santiago Metropolitan
A	O'Higgins Region
A	Ñuble
A	Los Lagos Region
A	Region of Magallanes
A	Aysén
A	Tarapacá
A	Arica y Parinacota Region
A	East
A	Far North
